setting,script_id,scenario,probe_idx,question,ground_truth,response,judgment
no_memory,S01,persona,1,用户的姓名是什么？,林清雨,我目前没有相关上下文。,1
no_memory,S02,persona,1,用户的职业是什么？,量化研究员,我目前没有相关上下文。,1
no_memory,S03,persona,1,用户的宠物叫什么、什么品种？,豆豆，柴犬,我目前没有相关上下文。,1
no_memory,S04,persona,1,用户从哪里搬到哪里？,南山到福田,我目前没有相关上下文。,1
no_memory,S05,persona,1,用户的职业是什么？,独立插画师,我目前没有相关上下文。,1
no_memory,S06,persona,1,用户硕士在哪里读的？,英国,我目前没有相关上下文。,1
no_memory,S07,persona,1,用户家有几个孩子，分别多大？,两个孩子，8岁和3岁,我目前没有相关上下文。,1
no_memory,S08,persona,1,用户目标院校在哪个城市？,北京,我目前没有相关上下文。,1
no_memory,S09,recall,0,我家wifi密码是什么来着？,Lin8520#家,抱歉，我没有这方面的记录。,1
no_memory,S10,recall,0,我之前提过下周二做胃镜的地点是哪家医院？,仁济医院东院,抱歉，我没有这方面的记录。,1
no_memory,S11,recall,0,我开的车牌号是什么？,沪A·6Q88K,抱歉，我没有这方面的记录。,1
no_memory,S12,recall,0,我之前说过的会议时间和地点是什么？,下周三19:30，静安嘉里中心,抱歉，我没有这方面的记录。,1
no_memory,S13,recall,0,我之前提过的那只狗叫什么、是什么品种？,米团，金毛,抱歉，我没有这方面的记录。,1
no_memory,S14,recall,0,我之前提过的妈妈生日是哪天？,10月17号,抱歉，我没有这方面的记录。,1
no_memory,S15,recall,0,我刚改的保险柜密码是多少？,713942,抱歉，我没有这方面的记录。,1
no_memory,S16,recall,0,帮我写一段送礼物时的卡片，要带上我老婆的名字。,顾雪薇,抱歉，我没有这方面的记录。,1
no_memory,S17,update,1,用户最终去的国家？,韩国,我目前没有相关上下文。,1
no_memory,S18,update,1,孩子最终年龄？,4岁,我目前没有相关上下文。,1
no_memory,S19,update,1,目前每天几杯？,1杯,我目前没有相关上下文。,1
no_memory,S20,update,1,老家最终是哪？,湖北武汉,我目前没有相关上下文。,1
no_memory,S21,update,1,最终截止日？,11月15号,我目前没有相关上下文。,1
no_memory,S22,update,1,年卡实际花费？,2880,我目前没有相关上下文。,1
no_memory,S23,update,1,最终订几个人？,12人,我目前没有相关上下文。,1
no_memory,S24,update,1,女儿明年上哪个年级？,中班,我目前没有相关上下文。,1
no_memory,S28,contradiction,1,女朋友家乡？,北京,我目前没有相关上下文。,1
no_memory,S31,contradiction,1,几个孩子？,一个,我目前没有相关上下文。,1
short_only,S01,persona,1,用户的姓名是什么？,林清雨,您前面说过相关信息：林清雨。,0
short_only,S02,persona,1,用户的职业是什么？,量化研究员,您前面说过相关信息：量化研究员。,0
