setting,script_id,scenario,probe_idx,question,ground_truth,response,judgment
no_memory,S01,persona,0,行程中是否避免了猫咖类活动？,避免猫咖,抱歉，我没有这方面的记录。,0
no_memory,S02,persona,0,餐厅是否考虑了避开乳制品？,避开乳制品,抱歉，我没有这方面的记录。,0
no_memory,S03,persona,0,活动是否考虑素食？,素食,抱歉，我没有这方面的记录。,0
no_memory,S04,persona,0,清单是否考虑不能搬重物？,不搬重物,抱歉，我没有这方面的记录。,0
no_memory,S05,persona,0,是否强调花生/坚果过敏？,花生过敏,抱歉，我没有这方面的记录。,0
no_memory,S06,persona,0,公司是否对应机械工程？,机械,抱歉，我没有这方面的记录。,0
no_memory,S07,persona,0,推荐是否考虑3岁幼儿？,适合幼儿,抱歉，我没有这方面的记录。,0
no_memory,S08,persona,0,是否给数学英语更多权重？,数学英语,抱歉，我没有这方面的记录。,0
no_memory,S17,update,0,清单是韩国美食？,韩国,抱歉，我没有这方面的记录。,0
no_memory,S18,update,0,推荐是否按4岁？,4岁,抱歉，我没有这方面的记录。,0
no_memory,S19,update,0,推荐是否基于1杯/天？,每天1杯,抱歉，我没有这方面的记录。,0
no_memory,S20,update,0,短文提武汉？,武汉,抱歉，我没有这方面的记录。,0
no_memory,S21,update,0,倒推按11月15？,11月15号,抱歉，我没有这方面的记录。,0
no_memory,S22,update,0,计算是否基于2880？,2880,抱歉，我没有这方面的记录。,0
no_memory,S23,update,0,按12人算？,12人,抱歉，我没有这方面的记录。,0
no_memory,S24,update,0,绘本对应中班？,中班,抱歉，我没有这方面的记录。,0
no_memory,S25,contradiction,0,以最新为准？,手抓饼/豆浆,抱歉，我没有这方面的记录。,0
no_memory,S26,contradiction,0,以牛奶为准？,牛奶,抱歉，我没有这方面的记录。,0
no_memory,S27,contradiction,0,按1万？,1万,抱歉，我没有这方面的记录。,0
no_memory,S28,contradiction,0,按北京？,北京,抱歉，我没有这方面的记录。,0
no_memory,S29,contradiction,0,按68？,68,抱歉，我没有这方面的记录。,0
no_memory,S30,contradiction,0,按工作三年？,工作三年,抱歉，我没有这方面的记录。,0
no_memory,S31,contradiction,0,按一个孩子？,一个孩子,抱歉，我没有这方面的记录。,0
